id,chain_len,distances
5803,100,"[303, 719, 32, 1, 1, 149, 442, 0, 5, 211, 34, 100, 4, 8, 116, 948, 1140, 70, 315, 389, 830, 2, 2, 2, 90, 2, 2, 2, 187, 44, 91, 11, 590, 66, 2, 86, 0, 0, 4, 21, 6, 26, 54, 26, 2, 4, 6, 674, 0, 4, 4, 8, 8, 13, 3, 1, 741, 1, 4, 4, 32, 28, 642, 592, 2, 1478, 2, 2, 1416, 4, 482, 9, 10, 1, 2, 2, 572, 2, 2, 2, 1, 479, 131, 24, 1142, 443, 0, 0, 0, 1, 1, 107, 208, 200, 146, 51, 0, 6, 4]"
5892,70,"[303, 1186, 371, 514, 21, 53, 23, 87, 4, 100, 1, 1641, 2, 72, 30, 106, 2, 168, 4, 4, 3, 9, 3, 2, 4, 5, 2, 2, 1, 1, 1, 2, 83, 4, 2, 2, 2, 6, 2, 2, 10, 175, 2, 9, 2, 2, 2, 1, 1, 2, 1, 8, 3, 1, 2, 5, 5, 23, 98, 23, 111, 2, 1, 4, 83, 272, 14, 445, 0]"
8498,17,"[490, 2, 5, 1, 1, 4, 15, 5, 2, 2, 2, 2, 443, 20, 2, 0]"
8457,17,"[490, 2, 5, 1, 1, 4, 15, 5, 2, 2, 2, 2, 443, 20, 2, 0]"
8279,17,"[490, 2, 5, 1, 1, 4, 15, 5, 2, 2, 2, 2, 443, 20, 2, 0]"
5929,17,"[490, 2, 5, 1, 1, 4, 15, 5, 2, 2, 2, 2, 443, 20, 2, 0]"
5896,3,"[38659, 25]"
5922,4,"[272, 375, 0]"
5925,6,"[272, 375, 133, 0, 0]"
5918,130,"[303, 0, 395, 55, 3, 50, 60, 49, 1, 6, 7, 996, 59, 34, 51, 3, 31, 19, 4, 55, 7, 24, 136, 109, 2, 11, 28, 1178, 16, 475, 62, 41, 1, 1, 1, 1, 14, 7, 755, 33, 135, 7, 78, 201, 3, 48, 1, 1604, 27, 52, 2, 59, 61, 2, 108, 6, 221, 85, 304, 2, 299, 112, 1, 535, 2, 1, 0, 1, 2, 1, 1, 3, 26, 31, 1, 56, 0, 0, 2, 1, 4, 1, 7, 2, 1, 63, 6, 6, 41, 1, 6, 11, 6, 3, 2, 3, 4, 1, 1, 0, 10, 1, 6, 6, 6, 6, 34, 6, 6, 6, 29, 2, 6, 6, 32, 7, 0, 3, 6, 6, 2, 6, 2, 27, 1, 2, 1, 9, 3]"
6247,26,"[303, 1403, 214, 289, 4, 787, 1, 32, 1, 0, 45, 5, 10, 46, 0, 47, 147, 1, 5, 12, 0, 0, 0, 0, 15]"
5938,26,"[303, 1403, 214, 289, 4, 787, 1, 32, 1, 0, 45, 5, 10, 46, 0, 47, 147, 1, 5, 12, 0, 0, 0, 15, 0]"
6550,7,"[303, 0, 2788, 2, 0, 0]"
6514,25,"[303, 1403, 214, 289, 4, 787, 1, 32, 1, 0, 45, 5, 10, 46, 0, 47, 147, 1, 5, 12, 0, 0, 572, 0]"
5950,4,"[889, 42, 16]"
5956,4,"[122, 159, 21]"
5958,9,"[275, 197, 8, 12, 8, 1, 2, 66]"
5959,3,"[484, 774]"
5971,134,"[303, 0, 395, 55, 3, 50, 60, 49, 1, 6, 7, 996, 59, 34, 51, 3, 31, 19, 4, 55, 7, 24, 136, 109, 2, 11, 28, 1178, 16, 475, 62, 41, 1, 1, 1, 1, 14, 7, 755, 33, 135, 7, 78, 201, 3, 48, 1, 1604, 27, 52, 2, 59, 61, 2, 108, 6, 221, 85, 304, 2, 299, 112, 1, 535, 2, 1, 0, 1, 2, 1, 1, 3, 26, 31, 1, 56, 0, 0, 2, 1, 4, 1, 7, 2, 1, 63, 6, 6, 41, 1, 6, 11, 6, 3, 2, 3, 4, 1, 1, 0, 10, 1, 6, 6, 6, 6, 34, 6, 6, 6, 29, 2, 6, 6, 32, 7, 0, 3, 6, 6, 2, 6, 2, 0, 3, 28, 1, 5, 0, 5, 5, 2, 2]"
