file1,file2
data/spec/10802.smt2,data/spec/11175.smt2
data/spec/10803.smt2,data/spec/18130.smt2
data/spec/10803.smt2,data/spec/18137.smt2
data/spec/10803.smt2,data/spec/20573.smt2
data/spec/10803.smt2,data/spec/21246.smt2
data/spec/10803.smt2,data/spec/23055.smt2
data/spec/10803.smt2,data/spec/23243.smt2
data/spec/10803.smt2,data/spec/29128.smt2
data/spec/10803.smt2,data/spec/29129.smt2
data/spec/10803.smt2,data/spec/29131.smt2
data/spec/10803.smt2,data/spec/39679.smt2
data/spec/10803.smt2,data/spec/39694.smt2
data/spec/10803.smt2,data/spec/4210.smt2
data/spec/10803.smt2,data/spec/4336.smt2
data/spec/10803.smt2,data/spec/4497.smt2
data/spec/10803.smt2,data/spec/4585.smt2
data/spec/10803.smt2,data/spec/4586.smt2
data/spec/10803.smt2,data/spec/4588.smt2
data/spec/10803.smt2,data/spec/4590.smt2
data/spec/10803.smt2,data/spec/4594.smt2
data/spec/10803.smt2,data/spec/46554.smt2
data/spec/10803.smt2,data/spec/46661.smt2
data/spec/10803.smt2,data/spec/48230.smt2
data/spec/10803.smt2,data/spec/5053.smt2
data/spec/10803.smt2,data/spec/52650.smt2
data/spec/10803.smt2,data/spec/54403.smt2
data/spec/10803.smt2,data/spec/54431.smt2
data/spec/10803.smt2,data/spec/54446.smt2
data/spec/10803.smt2,data/spec/54447.smt2
data/spec/10803.smt2,data/spec/54593.smt2
data/spec/10803.smt2,data/spec/6607.smt2
data/spec/10803.smt2,data/spec/6656.smt2
data/spec/10803.smt2,data/spec/6662.smt2
data/spec/10803.smt2,data/spec/67723.smt2
data/spec/10804.smt2,data/spec/15343.smt2
data/spec/10804.smt2,data/spec/15346.smt2
data/spec/10804.smt2,data/spec/17914.smt2
data/spec/10804.smt2,data/spec/18125.smt2
data/spec/10804.smt2,data/spec/18138.smt2
data/spec/10804.smt2,data/spec/18139.smt2
data/spec/10804.smt2,data/spec/20145.smt2
data/spec/10804.smt2,data/spec/20146.smt2
data/spec/10804.smt2,data/spec/20167.smt2
data/spec/10804.smt2,data/spec/20526.smt2
data/spec/10804.smt2,data/spec/20528.smt2
data/spec/10804.smt2,data/spec/20531.smt2
data/spec/10804.smt2,data/spec/20532.smt2
data/spec/10804.smt2,data/spec/20535.smt2
data/spec/10804.smt2,data/spec/20536.smt2
data/spec/10804.smt2,data/spec/20538.smt2
data/spec/10804.smt2,data/spec/20540.smt2
data/spec/10804.smt2,data/spec/20541.smt2
data/spec/10804.smt2,data/spec/20544.smt2
data/spec/10804.smt2,data/spec/20546.smt2
data/spec/10804.smt2,data/spec/21245.smt2
data/spec/10804.smt2,data/spec/21343.smt2
data/spec/10804.smt2,data/spec/29708.smt2
data/spec/10804.smt2,data/spec/4600.smt2
data/spec/10804.smt2,data/spec/4601.smt2
data/spec/10804.smt2,data/spec/4602.smt2
data/spec/10804.smt2,data/spec/4605.smt2
data/spec/10804.smt2,data/spec/4606.smt2
data/spec/10804.smt2,data/spec/4610.smt2
data/spec/10804.smt2,data/spec/4611.smt2
data/spec/10804.smt2,data/spec/4620.smt2
data/spec/10804.smt2,data/spec/46596.smt2
data/spec/10804.smt2,data/spec/46597.smt2
data/spec/10804.smt2,data/spec/46682.smt2
data/spec/10804.smt2,data/spec/46688.smt2
data/spec/10804.smt2,data/spec/46697.smt2
data/spec/10804.smt2,data/spec/47359.smt2
data/spec/10804.smt2,data/spec/48234.smt2
data/spec/10804.smt2,data/spec/50699.smt2
data/spec/10804.smt2,data/spec/52649.smt2
data/spec/10804.smt2,data/spec/53948.smt2
data/spec/10804.smt2,data/spec/54221.smt2
data/spec/10804.smt2,data/spec/54394.smt2
data/spec/10804.smt2,data/spec/54398.smt2
data/spec/10804.smt2,data/spec/54430.smt2
data/spec/10804.smt2,data/spec/54440.smt2
data/spec/10804.smt2,data/spec/54464.smt2
data/spec/10804.smt2,data/spec/54471.smt2
data/spec/10804.smt2,data/spec/54536.smt2
data/spec/10804.smt2,data/spec/54537.smt2
data/spec/10804.smt2,data/spec/6657.smt2
data/spec/10804.smt2,data/spec/67726.smt2
data/spec/10804.smt2,data/spec/67728.smt2
data/spec/10805.smt2,data/spec/12778.smt2
data/spec/10805.smt2,data/spec/15347.smt2
data/spec/10805.smt2,data/spec/18126.smt2
data/spec/10805.smt2,data/spec/20537.smt2
data/spec/10805.smt2,data/spec/20539.smt2
data/spec/10805.smt2,data/spec/4612.smt2
data/spec/10805.smt2,data/spec/4613.smt2
data/spec/10805.smt2,data/spec/4618.smt2
data/spec/10805.smt2,data/spec/4626.smt2
data/spec/10805.smt2,data/spec/4627.smt2
data/spec/10805.smt2,data/spec/4629.smt2
data/spec/10805.smt2,data/spec/46683.smt2
data/spec/10805.smt2,data/spec/46686.smt2
data/spec/10805.smt2,data/spec/46687.smt2
data/spec/10805.smt2,data/spec/54336.smt2
data/spec/10805.smt2,data/spec/54466.smt2
data/spec/10805.smt2,data/spec/54470.smt2
data/spec/10806.smt2,data/spec/17912.smt2
data/spec/10806.smt2,data/spec/17913.smt2
data/spec/10806.smt2,data/spec/46681.smt2
data/spec/10806.smt2,data/spec/46689.smt2
data/spec/10806.smt2,data/spec/46692.smt2
data/spec/10806.smt2,data/spec/54427.smt2
data/spec/10811.smt2,data/spec/10876.smt2
data/spec/10811.smt2,data/spec/10883.smt2
data/spec/10843.smt2,data/spec/11337.smt2
data/spec/10843.smt2,data/spec/11404.smt2
data/spec/10843.smt2,data/spec/11575.smt2
data/spec/10843.smt2,data/spec/11579.smt2
data/spec/10843.smt2,data/spec/11580.smt2
data/spec/10843.smt2,data/spec/11618.smt2
data/spec/10843.smt2,data/spec/29085.smt2
data/spec/10843.smt2,data/spec/9089.smt2
data/spec/10843.smt2,data/spec/9161.smt2
data/spec/10843.smt2,data/spec/9163.smt2
data/spec/10843.smt2,data/spec/9196.smt2
data/spec/10844.smt2,data/spec/10845.smt2
data/spec/10844.smt2,data/spec/10858.smt2
data/spec/10844.smt2,data/spec/10860.smt2
data/spec/10844.smt2,data/spec/10878.smt2
data/spec/10844.smt2,data/spec/10880.smt2
data/spec/10844.smt2,data/spec/11090.smt2
data/spec/10844.smt2,data/spec/11840.smt2
data/spec/10844.smt2,data/spec/29016.smt2
data/spec/10844.smt2,data/spec/29086.smt2
data/spec/10844.smt2,data/spec/29822.smt2
data/spec/10844.smt2,data/spec/29823.smt2
data/spec/10844.smt2,data/spec/29833.smt2
data/spec/10844.smt2,data/spec/9086.smt2
data/spec/10844.smt2,data/spec/9162.smt2
data/spec/10844.smt2,data/spec/9197.smt2
data/spec/10845.smt2,data/spec/10858.smt2
data/spec/10845.smt2,data/spec/10860.smt2
data/spec/10845.smt2,data/spec/10878.smt2
data/spec/10845.smt2,data/spec/10880.smt2
data/spec/10845.smt2,data/spec/11090.smt2
data/spec/10845.smt2,data/spec/11840.smt2
data/spec/10845.smt2,data/spec/29016.smt2
data/spec/10845.smt2,data/spec/29086.smt2
data/spec/10845.smt2,data/spec/29822.smt2
data/spec/10845.smt2,data/spec/29823.smt2
data/spec/10845.smt2,data/spec/29833.smt2
data/spec/10845.smt2,data/spec/9086.smt2
data/spec/10845.smt2,data/spec/9162.smt2
data/spec/10845.smt2,data/spec/9197.smt2
data/spec/10846.smt2,data/spec/10849.smt2
data/spec/10846.smt2,data/spec/29824.smt2
data/spec/10846.smt2,data/spec/29831.smt2
data/spec/10846.smt2,data/spec/29834.smt2
data/spec/10846.smt2,data/spec/9165.smt2
data/spec/10846.smt2,data/spec/9198.smt2
data/spec/10846.smt2,data/spec/9201.smt2
data/spec/10848.smt2,data/spec/11338.smt2
data/spec/10848.smt2,data/spec/11619.smt2
data/spec/10849.smt2,data/spec/29824.smt2
data/spec/10849.smt2,data/spec/29831.smt2
data/spec/10849.smt2,data/spec/29834.smt2
data/spec/10849.smt2,data/spec/9165.smt2
data/spec/10849.smt2,data/spec/9198.smt2
data/spec/10849.smt2,data/spec/9201.smt2
data/spec/10850.smt2,data/spec/10859.smt2
data/spec/10854.smt2,data/spec/10856.smt2
data/spec/10855.smt2,data/spec/10857.smt2
data/spec/10858.smt2,data/spec/10860.smt2
data/spec/10858.smt2,data/spec/10878.smt2
data/spec/10858.smt2,data/spec/10880.smt2
data/spec/10858.smt2,data/spec/11090.smt2
data/spec/10858.smt2,data/spec/11840.smt2
data/spec/10858.smt2,data/spec/29016.smt2
data/spec/10858.smt2,data/spec/29086.smt2
data/spec/10858.smt2,data/spec/29822.smt2
data/spec/10858.smt2,data/spec/29823.smt2
data/spec/10858.smt2,data/spec/29833.smt2
data/spec/10858.smt2,data/spec/9086.smt2
data/spec/10858.smt2,data/spec/9162.smt2
data/spec/10858.smt2,data/spec/9197.smt2
data/spec/10860.smt2,data/spec/10878.smt2
data/spec/10860.smt2,data/spec/10880.smt2
data/spec/10860.smt2,data/spec/11090.smt2
data/spec/10860.smt2,data/spec/11840.smt2
data/spec/10860.smt2,data/spec/29016.smt2
data/spec/10860.smt2,data/spec/29086.smt2
data/spec/10860.smt2,data/spec/29822.smt2
data/spec/10860.smt2,data/spec/29823.smt2
data/spec/10860.smt2,data/spec/29833.smt2
data/spec/10860.smt2,data/spec/9086.smt2
data/spec/10860.smt2,data/spec/9162.smt2
data/spec/10860.smt2,data/spec/9197.smt2
data/spec/10862.smt2,data/spec/9190.smt2
data/spec/10863.smt2,data/spec/10864.smt2
data/spec/10865.smt2,data/spec/10866.smt2
data/spec/10865.smt2,data/spec/10867.smt2
data/spec/10866.smt2,data/spec/10867.smt2
data/spec/10873.smt2,data/spec/10886.smt2
data/spec/10874.smt2,data/spec/10875.smt2
data/spec/10874.smt2,data/spec/10914.smt2
data/spec/10875.smt2,data/spec/10914.smt2
data/spec/10876.smt2,data/spec/10883.smt2
data/spec/10877.smt2,data/spec/10882.smt2
